Frequency [kHz],Power [dbm]
844648,-120.6321895202399
844652,-117.95894877842964
844656,-122.0214880646397
844660,-118.17151673548692
844664,-123.56916674816173
844668,-126.16801902999393
844672,-122.10338205839528
844676,-117.1033126435326
844680,-118.0397101813024
844684,-123.90615405233677
844688,-120.62274081996316
844692,-123.7685770122028
844696,-122.72827573932877
844700,-129.3061306602171
844704,-119.401388242461
844708,-125.57159429083174
844712,-122.89113992197372
844716,-119.028607467955
844720,-119.15544410248239
844724,-132.05924244798123
844728,-129.69824720594204
844732,-122.97348735648266
844736,-126.19147808038865
844740,-130.96995248151333
844744,-121.69738497576753
844748,-121.62019793890997
844752,-122.92690850281885
844756,-122.62359577807855
844760,-115.46450063531333
844764,-123.28849380722374
844768,-127.30505780165132
844772,-122.40067862461382
844776,-133.48948067795834
844780,-113.08671437686627
844784,-125.62118797372972
844788,-119.8263870824432
844792,-117.69534837209895
844796,-131.01458553091206
844800,-124.98831959764547
844804,-125.82832519800358
844808,-125.55220068702046
844812,-126.85002631249526
844816,-119.73976571803885
844820,-122.03147219221798
844824,-140.33017337759333
844828,-122.46331946491162
844832,-116.7041546563565
844836,-121.703952778186
844840,-122.49685195181738
844844,-118.7934615539047
844848,-116.47339278907758
844852,-116.72883567090965
844856,-128.33803348571854
844860,-117.97549016970125
844864,-119.18283767883912
844868,-125.14850568464445
844872,-121.91869852375271
844876,-110.96882080423532
844880,-120.1641266506741
844884,-125.68232142787615
844888,-125.3412970631417
844892,-122.68048045645466
844896,-115.33125151745008
844900,-115.03404538469967
844904,-118.40616461139072
844908,-123.28800713421464
844912,-120.03773001474168
844916,-115.08433191407104
844920,-128.59529432553575
844924,-120.05480044585642
844928,-120.0203481630569
844932,-116.4754897352209
844936,-119.93479589433579
844940,-129.27443583777318
844944,-117.34803678277557
844948,-120.31727410184241
844952,-116.39075605950477
844956,-125.07220221627999
844960,-116.39520756437243
844964,-118.01080810988553
844968,-118.65060493611671
844972,-120.72624164964647
844976,-124.67900920347935
844980,-128.21146653282156
844984,-126.7101456879532
844988,-124.94488188166075
844992,-136.81208872100058
844996,-128.0658979464039
845000,-118.62809131631474
845004,-118.8546865766628
845008,-132.03828358130693
845012,-131.28234718344288
845016,-120.11941335740289
845020,-121.93442844528023
845024,-116.80080394668973
845028,-118.48705368417787
845032,-112.41472860108452
845036,-120.12353578568171
845040,-119.01947476447509
845044,-115.60611707396907
845048,-125.65527747422391
845052,-120.52895036673578
845056,-118.70157211353217
845060,-114.686870639467
845064,-117.71537334549654
845068,-121.03103069716325
845072,-113.97389986016213
845076,-119.88260802186409
845080,-124.17504610536528
845084,-129.76343665872568
845088,-120.11313335851037
845092,-127.79501323636043
845096,-118.49301185145558
845100,-119.27133244511577
845104,-120.37336328411051
845108,-122.67156733201146
845112,-121.62562806665464
845116,-127.80159960475136
845120,-118.51919368487738
845124,-120.26526650150997
845128,-126.04216083265467
845132,-119.71994152077886
845136,-121.19216767516897
845140,-120.64636527405486
845144,-117.09530568099747
845148,-116.34970250536166
845152,-118.09349980356316
845156,-115.29000190726616
845160,-119.87432602610474
845164,-117.47710836282283
845168,-116.43355291817247
845172,-129.04801188953934
845176,-117.7302580455329
845180,-129.27972369641756
845184,-121.7371124758846
845188,-114.137688879471
845192,-121.0108397604696
845196,-122.77868461851543
845200,-118.27522785819424
845204,-135.1582714080805
845208,-134.82499892753992
845212,-124.74527377487433
845216,-126.21420810388486
845220,-123.36390384842305
845224,-121.06471224040918
845228,-120.92741375190144
845232,-134.41552156482243
845236,-116.09868778419343
845240,-127.40756913451756
845244,-126.92625977141353
845248,-118.50954159120563
845252,-123.46765741031633
845256,-117.68035980250667
845260,-127.24451328289031
845264,-129.93307784612884
845268,-118.65403232735142
845272,-129.37237623998885
845276,-116.19695641307683
845280,-134.17881641377775
845284,-119.06266926637724
845288,-122.94869251426958
845292,-123.36848515817667
845296,-126.12838659163303
845300,-124.50058506162122
845304,-120.13483078961443
845308,-128.03750603651315
845312,-116.52899583795447
845316,-120.02318848054472
845320,-127.9644295473232
845324,-126.3768904901847
845328,-122.80664271523196
845332,-126.06875715316643
845336,-120.62278839368825
845340,-128.63040781855634
845344,-114.13140866291371
845348,-120.93359598924131
845352,-128.42004002350052
845356,-117.15567108750838
845360,-120.66137425916364
845364,-130.0548510900426
845368,-116.1007192877181
845372,-118.49019037930616
845376,-125.96128725999078
845380,-118.65393865372323
845384,-125.99558375701591
845388,-129.0139404837736
845392,-121.45546311471782
845396,-121.79425550929935
845400,-116.63034279155119
845404,-116.66524441924102
845408,-120.73518751979879
845412,-131.77247674117237
845416,-122.61867175507909
845420,-118.1700547594851
845424,-128.13762508544642
845428,-127.46805106273457
845432,-117.33611312352889
845436,-116.69166654433677
845440,-118.06296702569242
845444,-122.64973923970143
845448,-123.01740310238708
845452,-118.56184085752932
845456,-117.79779913625799
845460,-119.72264023749091
845464,-124.3147345785253
845468,-125.90993737977536
845472,-123.5920917946626
845476,-118.10629380951369
845480,-112.59205637475519
845484,-114.74143374028931
845488,-126.5855225218571
845492,-122.98300403840915
845496,-124.31659771343396
845500,-118.85775521849196
845504,-119.97744813247888
845508,-117.56621780344449
845512,-112.65887521927716
845516,-121.69578596075937
845520,-129.8296446467723
845524,-130.2943432588646
845528,-117.98956713590368
845532,-123.75726067320326
845536,-126.70261787721478
845540,-118.6851509098114
845544,-116.53073056095906
845548,-120.17202654510713
845552,-123.7042063520696
845556,-120.97404387266764
845560,-119.76903041117062
845564,-125.94451486782182
845568,-126.12161260087345
845572,-120.87212832646495
845576,-124.25447160293128
845580,-125.03861589514247
845584,-121.77783252442397
845588,-118.14921817354482
845592,-126.58683023540016
845596,-117.99651479531666
845600,-129.2629223715457
845604,-116.20206363426792
845608,-121.15310212404022
845612,-123.79371319588763
845616,-119.90440715261579
845620,-124.1310163768717
845624,-119.95327016657077
845628,-119.84539465575094
845632,-116.22653422708632
845636,-128.2895970977914
845640,-122.73587555663698
845644,-131.33486192919304
845648,-123.79625732360182
845652,-117.42943331338053
845656,-123.63100179292827
845660,-121.9211156405559
845664,-123.78175025440345
845668,-116.97086312209217
845672,-118.11081476529202
845676,-132.3296917481961
845680,-116.59161146391702
845684,-118.97752716323943
845688,-121.40451726282603
845692,-128.16426602212508
845696,-129.92012481019236
845700,-122.97697130320212
845704,-125.25486720366102
845708,-115.83604241783226
845712,-122.74190225040097
845716,-126.7769165103692
845720,-116.95375660446325
845724,-119.72479141898208
845728,-125.29877819426198
845732,-124.88386781138487
845736,-123.84105457886119
845740,-126.41618557582375
845744,-117.61776276007399
845748,-125.74874955966527
845752,-126.04875072924189
845756,-125.07280546939377
845760,-122.79841081722714
845764,-118.69945558804324
845768,-117.01694152154843
845772,-116.63862031762721
845776,-134.6708379179746
845780,-118.19989739706062
845784,-118.42745463405284
845788,-118.00043935396691
845792,-113.52432707692084
845796,-115.70518958441302
845800,-116.90009450457896
845804,-122.77974418415879
845808,-120.0638595239082
845812,-123.31895557251796
845816,-123.34084053914242
845820,-115.35360073469457
845824,-127.20753147242729
845828,-118.69331632870322
845832,-128.70027911947867
845836,-120.89697701017528
845840,-121.89657938999149
845844,-117.68772620226166
845848,-117.51338017915104
845852,-122.0819392525269
845856,-123.68164449381881
845860,-129.79909001311387
845864,-118.47503215212384
845868,-125.06727571319666
845872,-131.2032121506248
845876,-118.74949690992656
845880,-126.76214965903387
845884,-122.51762018348623
845888,-122.80605875310896
845892,-122.92581267120298
845896,-123.68548552705624
845900,-119.38290305369767
845904,-113.24821742721387
845908,-116.7658962883701
845912,-128.4984304850253
845916,-123.02035433746433
845920,-117.13070310598968
845924,-123.45602250893147
845928,-115.2558874800288
845932,-116.42039459870824
845936,-123.28486078991051
845940,-115.43996032055657
845944,-131.11081468772971
845948,-114.99045954553385
845952,-119.77032309117547
845956,-123.5516393359974
845960,-120.04030195840001
845964,-119.39234702348993
845968,-121.25361453332611
845972,-124.72602934572103
845976,-114.8858333323723
845980,-118.33555968204509
845984,-129.52781100678968
845988,-118.06766103783917
845992,-122.24759364100571
845996,-119.9094865172056
846000,-139.1984430853583
846004,-119.10026016642398
846008,-115.26705812421869
846012,-116.33453114308956
846016,-124.00007378335881
846020,-116.09651471209075
846024,-115.16684103389439
846028,-115.36783651273237
846032,-119.46342057815711
846036,-134.3008513452546
846040,-126.02059483360061
846044,-117.29253372446254
846048,-120.31363798117975
846052,-118.79131256152664
846056,-120.19647764308164
846060,-124.13382483069714
846064,-118.56276026619382
846068,-130.50178007822336
846072,-122.66596302375021
846076,-121.34357844826637
846080,-127.01154484584953
846084,-120.85028461119104
846088,-117.35050366621951
846092,-126.96605160179277
846096,-121.78827832559269
846100,-118.99384478505888
846104,-130.4649886020125
846108,-122.72140427104424
846112,-122.05674198203886
846116,-123.26777600635506
846120,-122.18269040186458
846124,-119.22649656815392
846128,-121.24025928071268
846132,-114.88489960328633
846136,-116.80925420561866
846140,-121.59017560796774
846144,-118.61219798025041
846148,-118.21019627571691
846152,-122.64098567348955
846156,-116.34631071108562
846160,-122.47389695433807
846164,-122.71252863079691
846168,-113.63867415902435
846172,-114.1788916228541
846176,-122.24218179927675
846180,-122.1524807319172
846184,-118.98735837262271
846188,-132.20467051681746
846192,-125.49512685281832
846196,-120.23949612696346
846200,-125.11785473062726
846204,-121.08878264392297
846208,-119.60815525514636
846212,-115.71650962817624
846216,-118.73205284971053
846220,-118.68555989671361
846224,-124.20010113746554
846228,-124.06893081778388
846232,-115.47741451492956
846236,-122.77247427862545
846240,-119.17790994363816
846244,-121.09233965246636
846248,-120.44664036411135
846252,-114.69505092499597
846256,-124.32687915447427
846260,-123.63210913869992
846264,-114.72829368931984
846268,-123.12061634792644
846272,-118.45625432094805
846276,-121.1378728704267
846280,-124.84148982755882
846284,-121.08692621902303
846288,-119.41395879104765
846292,-117.66601821921914
846296,-117.53148880612633
846300,-118.85349247512474
846304,-117.74165702286986
846308,-116.05244773101367
846312,-121.26503583866266
846316,-123.79988021704355
846320,-122.89595557352251
846324,-117.681366995744
846328,-123.43514400647202
846332,-123.64798647246573
846336,-120.6943792571644
846340,-115.11018768416095
846344,-117.48586862219351
846348,-119.55905576933088
846352,-119.80431686728274
846356,-120.01433356919316
846360,-119.41745131360263
846364,-123.01144119489076
846368,-113.37216806807427
846372,-118.83025097064551
846376,-122.49320198346766
846380,-128.0280754554508
846384,-121.8374996171969
846388,-127.81082688663881
846392,-122.27764026192239
846396,-119.20918559683393
846400,-117.84291314788383
846404,-119.73412095732081
846408,-117.52918754026365
846412,-127.13431384484092
846416,-119.33303038387811
846420,-117.30859053324528
846424,-125.04065684540072
846428,-120.95332408219409
846432,-126.64299766341459
846436,-128.43798781245795
846440,-128.16384247575263
846444,-132.0212749297683
846448,-114.87920216137674
846452,-125.60478495812764
846456,-125.0795570439035
846460,-127.90243199531314
846464,-118.86831667265798
846468,-122.89850884581652
846472,-119.70058921177619
846476,-123.91198186364963
846480,-125.15197167351562
846484,-134.0576577933483
846488,-123.45061736957737
846492,-114.72025157570938
846496,-118.6101441617269
846500,-124.06916644343525
846504,-115.6116005979125
846508,-120.9522315427116
846512,-117.04694745325642
846516,-115.77889386829114
846520,-116.34896128159207
846524,-127.78013565653833
846528,-123.72025163287947
846532,-117.95412653130907
846536,-117.49892435033202
846540,-124.69511298548065
846544,-119.34164386915445
846548,-118.67793039555929
846552,-119.79990386574835
846556,-115.77933042844221
846560,-120.32912027646736
846564,-114.27508862596986
846568,-116.43592724351123
846572,-132.9856587759606
846576,-123.939470228162
846580,-124.21668866652999
846584,-118.31900347196023
846588,-119.33399407536582
846592,-111.02325705005369
846596,-129.27583357149544
846600,-113.65218136082633
846604,-123.43103431227578
846608,-117.11992451869054
846612,-123.61516964552794
846616,-127.03688467736438
846620,-122.75531180514636
846624,-128.7334485258687
846628,-121.47926755712935
846632,-119.63996050940715
846636,-116.03285797168797
846640,-118.2320390593293
